id;street_address;postal_code;city;state_province
1;while potentially;therapy scarce;Murazikboro;cautiously since
2;rough;what;South Khalil;spiderling
3;foretell yum while;bootleg shock;Jerodboro;frightened lest and
4;downgrade;till onto;Troy;extraneous dawdle refine
5;below storm vandalise;only throughout than;Franciscashire;wall
6;abaft supposing hm;so;Elnaberg;inside recklessly
7;land psst boohoo;save regarding around;Philipstead;gadzooks ew
8;carry ew;offbeat validity;Torpshire;excluding
9;astride a;provided meanwhile and;Joaniefield;ignite dowse
10;hmph after;hop outside;Fort Reannaside;disillusion hm thankfully
